chrom	length	bases	mean	min	max
chr1	249250621	25751636	0.10	0	471
chr1_region	1119	344029	307.44	0	371
chr2	243199373	30463135	0.13	0	509
chr2_region	0	0	0.00	0	0
chr3	198022430	31130622	0.16	0	598
chr3_region	0	0	0.00	0	0
chr4	191154276	18006277	0.09	0	467
chr4_region	0	0	0.00	0	0
chr5	180915260	28561159	0.16	0	494
chr5_region	0	0	0.00	0	0
chr6	171115067	18273821	0.11	0	807
chr6_region	0	0	0.00	0	0
chr7	159138663	24536559	0.15	0	677
chr7_region	0	0	0.00	0	0
chr8	146364022	19909454	0.14	0	460
chr8_region	0	0	0.00	0	0
chr9	141213431	17481681	0.12	0	583
chr9_region	0	0	0.00	0	0
chr10	135534747	15776496	0.12	0	458
chr10_region	0	0	0.00	0	0
chr11	135006516	22786737	0.17	0	588
chr11_region	0	0	0.00	0	0
chr12	133851895	22318986	0.17	0	545
chr12_region	0	0	0.00	0	0
chr13	115169878	13256655	0.12	0	484
chr13_region	0	0	0.00	0	0
chr14	107349540	12974312	0.12	0	487
chr14_region	0	0	0.00	0	0
chr15	102531392	14133898	0.14	0	707
chr15_region	0	0	0.00	0	0
chr16	90354753	19242597	0.21	0	877
chr16_region	0	0	0.00	0	0
chr17	81195210	29692325	0.37	0	565
chr17_region	0	0	0.00	0	0
chr18	78077248	8725217	0.11	0	455
chr18_region	0	0	0.00	0	0
chr19	59128983	17047868	0.29	0	531
chr19_region	0	0	0.00	0	0
chr20	63025520	4090012	0.06	0	632
chr20_region	0	0	0.00	0	0
chr21	48129895	2203023	0.05	0	343
chr21_region	0	0	0.00	0	0
chr22	51304566	10317023	0.20	0	596
chr22_region	0	0	0.00	0	0
chrX	155270560	8055892	0.05	0	322
chrX_region	0	0	0.00	0	0
chrY	59373566	138380	0.00	0	240
chrY_region	0	0	0.00	0	0
artifact_seq	17388	210495	12.11	0	285
artifact_seq_region	0	0	0.00	0	0
total	3095694800	415084260	0.13	0	877
total_region	1119	344029	307.44	0	371
